town,Index,group,State Name,District names,latitude,longitude
Bangsidharpur ,5.390181057,1,WEST BENGAL,South Twenty Four Parganas,22.1686107,88.4099377
Bamna ,5.34371819,1,WEST BENGAL,South Twenty Four Parganas,25.2105732,78.17623276
Pandua ,4.961412874,1,WEST BENGAL,Hugli ,23.0751399,88.2828926
Anand Nagar ,4.702529266,1,ASSAM,Dhubri,27.1026549,83.2747426
Erashal ,4.57125118,1,WEST BENGAL,Purba Medinipur,22.090257,87.861738
Dhola ,4.565227619,1,WEST BENGAL,South Twenty Four Parganas,32.6856074,73.8453867
Dhola ,4.565227619,1,WEST BENGAL,South Twenty Four Parganas,32.6856074,73.8453867
Dihi Kalas ,4.536126,1,WEST BENGAL,South Twenty Four Parganas,22.2508426,88.3409331
Arjunpur ,4.509181851,1,WEST BENGAL,Murshidabad ,24.9996924,80.66750482
Krishna Chandrapur ,4.476909542,1,WEST BENGAL,South Twenty Four Parganas,22.1191136,88.4294808
Durganagar ,4.472727513,1,WEST BENGAL,South Twenty Four Parganas,22.6504966,88.4192153
Hasimnagar ,4.450394475,1,WEST BENGAL,South Twenty Four Parganas,22.3095208,88.2534125
Kalikapota ,4.257939378,1,WEST BENGAL,South Twenty Four Parganas,22.226954,88.3360718
Baneshwarpur ,4.253948959,1,WEST BENGAL,South Twenty Four Parganas,22.2421242,88.457662
Baliadanga ,4.127914476,1,WEST BENGAL,Maldah ,22.7188738,89.5487021
Garia ,4.120353192,1,WEST BENGAL,South Twenty Four Parganas,22.4662366,88.4050198
Purba Ranaghat ,4.087984592,1,WEST BENGAL,South Twenty Four Parganas,22.1386089,88.4428099
Topchanchi ,4.076779784,1,JHARKHAND,Dhanbad,23.8849058,86.2078046
Mankachar ,4.068769998,1,ASSAM,Dhubri,25.62963265,89.93159384
Mahendrapur ,4.065367141,1,WEST BENGAL,Murshidabad ,24.53052395,80.57460467
Karia ,4.036123906,1,WEST BENGAL,Haora ,24.060292,76.99323036
Anup Nagar ,4.003067733,1,WEST BENGAL,Murshidabad ,25.6011427,85.1570423
Magrahat ,3.969992082,1,WEST BENGAL,South Twenty Four Parganas,22.2419601,88.3784239
Sibnagar ,3.928623024,1,WEST BENGAL,Murshidabad ,22.3247124,88.593432
Jafrabad ,3.92523415,1,WEST BENGAL,Murshidabad ,26.41723155,77.87632912
Jafrabad ,3.92523415,1,WEST BENGAL,Murshidabad ,26.41723155,77.87632912
Bilandapur ,3.921498963,1,WEST BENGAL,South Twenty Four Parganas,22.2347572,88.3712739
Rajapur ,3.9113463,1,WEST BENGAL,South Twenty Four Parganas,16.6533199,73.5148504
Kumarpur ,3.86750265,1,JHARKHAND,Pakur,21.8543065,88.409595
